dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20001530,NI data zone,48,58,188,54,400
N20001539,NI data zone,26,63,236,63,346
N20001540,NI data zone,10,48,142,17,320
N20001541,NI data zone,17,31,104,28,267
N20001543,NI data zone,39,62,172,21,415
N20001547,NI data zone,38,66,143,16,511
N20001548,NI data zone,102,58,119,9,436
N20001549,NI data zone,25,59,118,15,244
N20001550,NI data zone,11,36,49,7,370
N20001551,NI data zone,13,41,61,9,211
N20001552,NI data zone,23,65,134,10,215
N20001553,NI data zone,35,56,90,8,572
N20001554,NI data zone,20,45,80,3,335
N20001555,NI data zone,23,57,123,9,285
N20001556,NI data zone,14,41,108,19,115
N20001557,NI data zone,37,76,182,24,298
N20001558,NI data zone,30,39,137,15,320
N20001559,NI data zone,13,46,69,3,299
N20001560,NI data zone,29,44,122,18,295
N20001561,NI data zone,15,35,115,19,293
N20001562,NI data zone,15,28,96,11,208
N20001563,NI data zone,17,48,76,7,371
N20001564,NI data zone,22,43,70,10,266
N20001565,NI data zone,24,38,118,8,251
N20001566,NI data zone,13,31,49,1,217
N20001567,NI data zone,21,21,102,8,312
N20001568,NI data zone,22,60,106,7,264
N20001569,NI data zone,15,36,134,11,178
N20001570,NI data zone,20,40,112,21,274
N20001571,NI data zone,5,9,26,1,144
N20001572,NI data zone,17,40,111,11,373
N20001573,NI data zone,33,64,127,14,277
N20001574,NI data zone,21,71,84,11,420
N20001575,NI data zone,15,45,89,7,282
N20001576,NI data zone,22,39,97,10,236
N20001577,NI data zone,17,21,59,6,172
N20001578,NI data zone,12,23,34,7,223
N20001579,NI data zone,5,25,61,6,165
N20001580,NI data zone,19,69,156,14,285
N20001581,NI data zone,20,43,96,10,288
N20001582,NI data zone,12,40,90,10,318
N20001583,NI data zone,22,65,127,17,221
N20001584,NI data zone,21,29,94,16,208
N20001585,NI data zone,32,54,171,15,256
N20001586,NI data zone,24,60,112,15,224
N20001587,NI data zone,40,90,210,26,343
N20001588,NI data zone,16,41,102,11,207
N20001589,NI data zone,28,59,184,26,332
N20001590,NI data zone,21,47,110,15,280
N20001591,NI data zone,16,61,170,18,331
N20001592,NI data zone,18,45,147,24,188
N20001593,NI data zone,28,53,183,15,267
N20001594,NI data zone,19,53,106,19,330
N20001595,NI data zone,20,36,56,2,212
N20001596,NI data zone,44,63,150,38,314
N20001597,NI data zone,36,75,154,73,377
N20001598,NI data zone,13,25,54,9,223
N20001599,NI data zone,26,38,102,13,195
N20001600,NI data zone,12,28,24,5,234
N20001601,NI data zone,16,47,63,12,218
N20001602,NI data zone,24,22,67,22,215
N20001603,NI data zone,20,33,72,23,226
N20001604,NI data zone,30,30,120,21,341
N20001605,NI data zone,11,35,80,7,206
N20001606,NI data zone,9,16,64,9,151
N20001607,NI data zone,23,33,86,17,289
N20001608,NI data zone,15,34,71,8,190
N20001609,NI data zone,22,33,96,18,169
N20001610,NI data zone,28,46,121,22,320
N20001611,NI data zone,30,50,101,14,333
N20001612,NI data zone,28,37,59,1,357
N20001613,NI data zone,30,49,169,19,298
N20001614,NI data zone,23,49,103,10,299
N20001615,NI data zone,27,74,184,24,357
N20001616,NI data zone,30,44,110,26,350
N20001617,NI data zone,22,51,105,43,272
N20001618,NI data zone,28,55,136,21,256
N20001619,NI data zone,13,33,94,32,216
N20001620,NI data zone,28,22,72,9,230
N20001621,NI data zone,37,44,106,24,259
N20001622,NI data zone,20,29,77,14,296
N20001623,NI data zone,26,45,119,22,261
N20001624,NI data zone,41,33,94,22,234
N20001625,NI data zone,18,20,56,9,147
N20001626,NI data zone,23,32,93,6,306
N20001627,NI data zone,31,62,152,36,358
N20001628,NI data zone,16,21,55,9,183
N20001629,NI data zone,17,22,41,6,205
N20001630,NI data zone,78,50,62,17,256
N20001631,NI data zone,27,44,102,23,269
N20001632,NI data zone,28,41,113,29,421
N20001633,NI data zone,134,72,46,6,274
N20001634,NI data zone,37,51,149,57,326
N20001635,NI data zone,56,53,154,23,320
N20001636,NI data zone,24,52,126,37,265
N20001637,NI data zone,30,39,91,29,301
N20001638,NI data zone,67,75,155,37,316
N20001639,NI data zone,31,49,145,26,302
N20001640,NI data zone,25,33,86,35,291
N20001641,NI data zone,15,26,72,24,142
N20001642,NI data zone,14,43,94,13,332
N20001643,NI data zone,15,39,93,26,194
N20001644,NI data zone,31,81,198,26,382
N20001645,NI data zone,21,50,120,39,296
N20001646,NI data zone,8,26,72,14,168
N20001647,NI data zone,19,53,119,41,305
N20001648,NI data zone,10,26,96,15,152
N20001649,NI data zone,16,42,88,21,188
N20001650,NI data zone,16,40,84,20,200
N20001651,NI data zone,15,15,16,15,80
N20001652,NI data zone,28,39,124,37,277
N20001653,NI data zone,26,49,167,34,364
N20001654,NI data zone,11,19,41,2,176
N20001655,NI data zone,23,57,166,17,317
N20001656,NI data zone,38,62,210,25,445
N20001657,NI data zone,20,32,50,17,214
N20001658,NI data zone,31,64,147,50,275
N20001659,NI data zone,14,31,76,15,225
N20001660,NI data zone,45,70,237,32,522
N20001661,NI data zone,16,29,63,8,218
N20001662,NI data zone,13,30,55,6,359
N20001663,NI data zone,28,62,107,9,404
N20001664,NI data zone,10,23,94,13,236
N20001665,NI data zone,22,47,147,40,302
N20001666,NI data zone,28,56,120,33,283
N20001667,NI data zone,20,33,106,36,233
N20001668,NI data zone,31,65,156,48,339
N20001669,NI data zone,21,39,105,29,288
N20001670,NI data zone,13,46,79,30,197
N20001671,NI data zone,9,42,81,18,272
N20001672,NI data zone,23,64,151,34,340
N20001673,NI data zone,38,44,135,36,335
N20001674,NI data zone,29,53,175,70,305
N20001675,NI data zone,20,39,161,52,325
N20001676,NI data zone,24,41,156,30,300
N20001677,NI data zone,11,28,78,10,180
N20001678,NI data zone,26,61,146,41,308
N20001679,NI data zone,22,36,88,11,212
N20001680,NI data zone,29,44,153,31,304
N20001681,NI data zone,22,47,137,31,284
N20001682,NI data zone,18,25,96,11,225
N20001683,NI data zone,42,61,238,65,393
N20001684,NI data zone,30,59,200,55,380
N20001685,NI data zone,34,62,154,46,349
N20001686,NI data zone,28,72,176,27,342
N20001687,NI data zone,33,45,160,21,296
N20001688,NI data zone,22,47,127,8,215
N20001689,NI data zone,31,73,158,31,337
N20001690,NI data zone,11,35,83,2,219
N20001691,NI data zone,20,40,63,14,281
N20001692,NI data zone,42,67,188,22,322
N20001693,NI data zone,21,55,93,9,416
N20001694,NI data zone,9,33,70,6,185
N20001695,NI data zone,14,33,86,11,267
N20001696,NI data zone,21,50,181,20,253
N20001697,NI data zone,27,47,144,13,250
N20001698,NI data zone,17,44,104,15,257
N20001699,NI data zone,31,37,101,24,324
N20001700,NI data zone,14,28,55,8,271
N20001701,NI data zone,14,17,51,9,305
N20001702,NI data zone,24,70,212,21,453
N20001703,NI data zone,10,18,33,6,149
N20001704,NI data zone,12,31,57,4,208
N20001705,NI data zone,26,40,116,26,247
N20001706,NI data zone,20,51,91,12,300
N20001707,NI data zone,27,38,79,11,262
N20001708,NI data zone,17,54,164,37,248
N20001709,NI data zone,22,48,170,20,228
N20001710,NI data zone,38,54,254,23,374
N20001711,NI data zone,12,30,89,12,193
N20001712,NI data zone,27,56,109,29,239
N20001713,NI data zone,28,61,139,25,299
N20001714,NI data zone,19,42,107,43,202
N20001715,NI data zone,34,76,258,52,421
N20001716,NI data zone,44,71,253,66,448
N20001717,NI data zone,20,21,68,19,156
N20001718,NI data zone,14,32,81,9,174
N20001719,NI data zone,25,55,186,23,273
N20001720,NI data zone,46,78,180,51,396
N20001721,NI data zone,35,49,179,21,277
N20001722,NI data zone,46,67,219,48,395
N20001723,NI data zone,27,55,182,26,385
N20001724,NI data zone,16,58,163,32,286
N20001725,NI data zone,24,56,170,43,284
N20001726,NI data zone,24,54,158,71,309
N20001727,NI data zone,31,64,170,36,284
N20001728,NI data zone,18,35,71,10,207
N20001729,NI data zone,24,81,223,18,395
N20001730,NI data zone,18,21,80,16,154
N20001731,NI data zone,40,46,194,47,336
N20002287,NI data zone,28,57,141,41,264
N20002288,NI data zone,40,93,293,32,434
N20002289,NI data zone,71,93,244,62,434
N20002290,NI data zone,27,48,160,14,234
N20002291,NI data zone,19,40,100,9,216
N20002292,NI data zone,29,73,230,33,317
N20002293,NI data zone,32,49,132,36,264
N20002294,NI data zone,27,50,131,45,259
N20002295,NI data zone,35,60,171,51,309
N20002296,NI data zone,21,86,251,37,325
N20002297,NI data zone,34,65,150,44,279
N20002298,NI data zone,27,52,133,32,221
N20002299,NI data zone,31,39,156,32,244
N20002300,NI data zone,19,48,211,28,274
N20002301,NI data zone,18,28,86,27,174
N20002302,NI data zone,30,41,117,24,255
N20002303,NI data zone,24,55,195,32,250
N20002304,NI data zone,26,36,111,25,181
N20002306,NI data zone,17,62,234,38,234
N20002308,NI data zone,16,49,195,22,214
N20002309,NI data zone,15,49,250,35,215
N20002310,NI data zone,55,75,247,49,355
N20002311,NI data zone,24,33,101,34,236
N20002312,NI data zone,22,47,219,19,277
N20002313,NI data zone,39,67,181,21,223
N20002314,NI data zone,15,30,139,2,116
N20002315,NI data zone,24,45,166,19,180
N20002316,NI data zone,15,28,108,12,168
N20002317,NI data zone,38,56,195,27,278
N20002318,NI data zone,21,37,101,40,641
N20002319,NI data zone,32,74,218,42,370
N20002320,NI data zone,34,88,292,33,301
N20002321,NI data zone,25,45,231,26,234
N20002322,NI data zone,26,77,205,27,307
N20002323,NI data zone,27,61,216,35,284
N20002324,NI data zone,36,61,197,38,333
N20002325,NI data zone,19,65,189,17,267
N20002327,NI data zone,22,28,104,9,203
N20002328,NI data zone,24,54,156,15,231
N20002329,NI data zone,30,71,141,16,399
N20002332,NI data zone,29,63,151,14,369
N20002334,NI data zone,28,88,132,7,454
N20002335,NI data zone,18,49,56,9,331
N20002336,NI data zone,30,92,246,24,258
N20002341,NI data zone,21,53,167,22,270
N20002342,NI data zone,14,40,259,20,169
N20002344,NI data zone,34,62,265,28,225
N20002349,NI data zone,19,51,285,25,279
N20002351,NI data zone,21,55,270,32,293
N20002364,NI data zone,23,31,119,13,283
N20002548,NI data zone,29,58,181,44,337
N20002549,NI data zone,21,46,148,41,304
N20002550,NI data zone,25,66,155,43,303
N20002551,NI data zone,28,53,108,22,209
N20002552,NI data zone,21,43,128,33,232
N20002553,NI data zone,32,33,114,37,218
N20002554,NI data zone,7,24,90,4,229
N20002555,NI data zone,23,46,152,16,274
N20002556,NI data zone,24,46,123,9,303
N20002557,NI data zone,23,54,186,14,294
N20002558,NI data zone,6,25,89,2,218
N20002559,NI data zone,24,30,102,15,209
N20002560,NI data zone,17,33,69,10,255
N20002561,NI data zone,17,38,130,26,220
N20002562,NI data zone,16,47,166,18,308
N20002563,NI data zone,38,81,192,42,387
N20002564,NI data zone,32,65,169,49,350
N20002565,NI data zone,16,32,99,17,123
N20002566,NI data zone,14,29,124,12,209
N20002567,NI data zone,26,57,190,14,274
N20002568,NI data zone,17,29,112,12,160
N20002569,NI data zone,29,39,107,21,175
N20002570,NI data zone,16,42,117,20,227
N20002571,NI data zone,11,46,157,18,268
N20002572,NI data zone,22,63,177,14,273
N20002573,NI data zone,27,42,136,23,263
N20002574,NI data zone,32,69,251,23,279
N20002575,NI data zone,7,11,21,2,137
N20002576,NI data zone,24,55,155,15,319
N20002577,NI data zone,39,44,154,45,306
N20002578,NI data zone,16,52,192,19,254
N20002579,NI data zone,31,73,160,19,275
N20002580,NI data zone,21,54,139,42,287
N20002581,NI data zone,32,62,182,39,318
N20002582,NI data zone,33,58,182,48,308
N20002584,NI data zone,32,84,200,28,340
N20002586,NI data zone,26,49,184,27,320
N20002587,NI data zone,7,38,74,7,211
N20002588,NI data zone,22,48,118,14,366
N20002589,NI data zone,19,34,108,6,340
N20002590,NI data zone,17,43,154,20,233
N20002591,NI data zone,20,35,80,6,223
N20002592,NI data zone,18,48,140,13,222
N20002593,NI data zone,27,58,222,21,326
N20002594,NI data zone,14,32,94,3,367
N20002595,NI data zone,27,45,141,19,348
N20002596,NI data zone,16,29,89,11,188
N20002597,NI data zone,15,38,119,10,211
N20002598,NI data zone,16,26,147,12,187
N20002599,NI data zone,17,39,113,10,232
N20002600,NI data zone,32,50,160,11,308
N20002601,NI data zone,20,35,115,9,281
N20002602,NI data zone,27,39,134,16,271
N20002603,NI data zone,28,62,138,20,360
N20002604,NI data zone,29,54,172,17,424
N20002605,NI data zone,26,64,150,14,301
N20002606,NI data zone,29,66,187,11,445
N20002607,NI data zone,15,24,72,6,191
N20002608,NI data zone,8,12,45,6,141
N20002609,NI data zone,20,33,129,14,208
N20002610,NI data zone,22,33,106,8,194
N20002611,NI data zone,21,32,213,12,278
N20002612,NI data zone,24,47,155,8,271
N20002613,NI data zone,32,71,281,18,350
N20002614,NI data zone,5,24,94,7,274
N20002615,NI data zone,20,55,161,15,306
N20002616,NI data zone,16,28,73,4,229
N20002617,NI data zone,25,70,299,25,366
N20002618,NI data zone,24,32,90,24,242
N20002619,NI data zone,31,45,93,6,398
N20002620,NI data zone,18,56,140,17,315
N20002621,NI data zone,14,46,118,15,233
N20002622,NI data zone,18,41,78,7,296
N20002623,NI data zone,6,23,74,18,228
N20002624,NI data zone,22,34,102,33,253
N20002625,NI data zone,8,37,91,6,202
N20002626,NI data zone,20,40,80,3,223
N20002627,NI data zone,11,18,41,0,156
N20002628,NI data zone,11,38,194,22,272
N20002629,NI data zone,18,56,149,9,372
N20002630,NI data zone,11,42,111,16,147
N20002631,NI data zone,18,39,82,4,246
N20002632,NI data zone,24,55,165,19,202
N20002633,NI data zone,26,50,131,17,264
N20002634,NI data zone,14,48,157,23,227
N20002635,NI data zone,26,37,116,11,216
N20002636,NI data zone,8,21,77,9,167
N20002637,NI data zone,29,54,189,33,251
N20002638,NI data zone,12,33,136,9,203
N20002639,NI data zone,22,71,194,65,327
N20002640,NI data zone,20,55,188,25,425
N20002641,NI data zone,18,42,138,31,257
N20002642,NI data zone,31,43,143,43,324
N20002643,NI data zone,23,52,130,43,269
N20002644,NI data zone,9,37,118,18,171
N20002645,NI data zone,30,66,201,43,338
N20002646,NI data zone,42,66,225,55,351
N20002647,NI data zone,32,74,189,63,364
N20002648,NI data zone,30,71,187,70,328
N20002649,NI data zone,15,52,119,33,186
N20002650,NI data zone,19,40,86,34,230
N20002651,NI data zone,23,45,114,35,231
N20002652,NI data zone,25,59,152,29,339
N20002653,NI data zone,24,44,134,39,283
N20002654,NI data zone,45,59,200,29,338
N20002655,NI data zone,33,45,157,31,291
N20002656,NI data zone,23,45,109,23,290
N20002657,NI data zone,9,23,75,5,171
N20002658,NI data zone,35,64,164,50,293
N20002659,NI data zone,9,28,76,9,156
N20002660,NI data zone,20,29,102,14,247
N20002661,NI data zone,9,31,101,15,204
N20002662,NI data zone,21,75,182,54,323
N20002663,NI data zone,43,87,197,49,372
N20002664,NI data zone,28,62,158,51,284
N20002665,NI data zone,8,23,46,2,189
N20002666,NI data zone,18,33,137,17,294
N20002667,NI data zone,11,43,115,7,174
N20002668,NI data zone,43,51,155,64,258
N20002669,NI data zone,12,43,138,9,288
N20002670,NI data zone,22,49,138,11,336
N20002671,NI data zone,16,45,125,6,488
N20002672,NI data zone,11,18,65,6,113
N20002673,NI data zone,18,47,72,3,303
N20002674,NI data zone,20,48,122,27,217
N20002675,NI data zone,16,35,101,18,150
N20002676,NI data zone,35,69,216,38,322
N20002677,NI data zone,31,42,154,36,305
N20002678,NI data zone,30,51,181,37,343
N20002679,NI data zone,26,57,138,35,189
N20002680,NI data zone,13,42,113,14,233
N20002681,NI data zone,29,74,179,31,293
N20002682,NI data zone,22,60,211,37,328
N20002683,NI data zone,16,40,152,14,220
N20002684,NI data zone,17,34,102,29,177
N20002685,NI data zone,16,38,75,33,193
N20002686,NI data zone,11,34,94,23,260
N20002687,NI data zone,20,59,170,24,321
N20002688,NI data zone,10,39,101,15,292
N20002689,NI data zone,32,39,97,17,287
N20002690,NI data zone,24,48,110,37,199
N20002691,NI data zone,43,58,169,45,329
N20002692,NI data zone,29,29,120,20,275
N20002693,NI data zone,26,26,66,8,218
N20002694,NI data zone,29,43,110,34,215
N20002695,NI data zone,21,43,102,20,275
N20002696,NI data zone,17,39,102,15,248
N20002697,NI data zone,21,38,129,11,247
N20002698,NI data zone,20,38,65,5,321
N20002699,NI data zone,25,56,171,12,258
N20002700,NI data zone,21,47,148,12,188
N20002701,NI data zone,23,43,100,6,201
N20002702,NI data zone,6,21,83,8,186
N20002703,NI data zone,8,18,64,4,154
N20002704,NI data zone,7,39,66,5,191
N20002705,NI data zone,15,46,137,15,186
N20002706,NI data zone,13,35,93,12,139
N20002707,NI data zone,17,42,127,11,206
N20002708,NI data zone,15,33,69,6,228
N20002709,NI data zone,27,77,147,15,448
N20002710,NI data zone,18,50,116,6,344
N20002711,NI data zone,21,31,68,4,259
N20002712,NI data zone,11,26,62,3,197
N20002713,NI data zone,20,40,100,11,280
N20002714,NI data zone,17,28,102,9,257
N20002715,NI data zone,16,41,108,16,325
N20002716,NI data zone,35,80,259,17,383
N20002717,NI data zone,7,29,87,3,166
N20002718,NI data zone,11,45,118,6,261
N20002719,NI data zone,10,30,58,6,328
N20002720,NI data zone,15,30,89,4,274
N20002721,NI data zone,11,8,40,5,137
N20002722,NI data zone,17,30,76,17,270
N20002723,NI data zone,13,31,65,6,308
N20002724,NI data zone,12,29,74,9,193
N20002725,NI data zone,14,17,74,5,158
N20002726,NI data zone,18,42,140,21,323
N20002727,NI data zone,10,36,96,13,274
N20002728,NI data zone,10,33,125,15,232
N20002729,NI data zone,3,6,13,3,127
N20002730,NI data zone,17,55,174,20,173
N20002731,NI data zone,22,58,210,25,263
N20002732,NI data zone,24,38,110,19,227
N20002733,NI data zone,13,43,188,18,176
N20002734,NI data zone,11,19,58,6,188
N20002735,NI data zone,21,35,129,18,309
N20002736,NI data zone,25,40,102,12,210
N20002737,NI data zone,24,59,185,41,257
N20002738,NI data zone,13,39,170,20,182
N20002739,NI data zone,28,52,146,36,353
N20002740,NI data zone,28,62,182,10,318
N20002741,NI data zone,16,36,135,16,269
N20002742,NI data zone,36,79,234,64,433
N20002743,NI data zone,51,86,223,54,467
N20002744,NI data zone,36,74,218,74,384
N20002745,NI data zone,19,49,148,28,282
N20002746,NI data zone,42,57,190,68,311
N20002747,NI data zone,25,62,191,43,285
N20002748,NI data zone,23,49,124,17,246
N20002749,NI data zone,14,24,89,14,222
N20002750,NI data zone,13,40,115,20,175
N20002751,NI data zone,24,56,162,28,299
N20002752,NI data zone,12,19,106,9,184
N20002753,NI data zone,18,49,118,14,233
N20002754,NI data zone,11,28,87,10,160
N20002755,NI data zone,20,45,113,19,298
N20002756,NI data zone,11,30,77,11,255
N20002757,NI data zone,23,42,162,13,249
N20002758,NI data zone,23,28,115,24,224
N20002759,NI data zone,9,20,54,1,136
N20002760,NI data zone,23,59,114,7,262
N20002761,NI data zone,33,50,134,20,322
N20002762,NI data zone,30,40,162,31,366
N20002763,NI data zone,16,40,143,27,221
N20002764,NI data zone,31,55,216,17,229
N20002765,NI data zone,29,58,231,17,253
N20002766,NI data zone,15,17,76,13,172
N20002767,NI data zone,21,34,114,22,217
N20002768,NI data zone,32,80,303,30,391
N20002769,NI data zone,21,50,241,25,227
N20002770,NI data zone,39,80,255,17,308
N20002771,NI data zone,19,29,116,28,138
N20002772,NI data zone,19,43,67,8,244
N20002773,NI data zone,13,33,109,10,221
N20002774,NI data zone,56,93,242,36,335
N20002775,NI data zone,44,91,248,26,360
N20002776,NI data zone,8,30,84,8,141
N20002777,NI data zone,23,42,118,21,221
N20002778,NI data zone,32,60,229,17,353
N20002779,NI data zone,13,39,93,4,295
N20002780,NI data zone,21,41,119,12,371
N20002781,NI data zone,19,55,108,7,403
N20002782,NI data zone,14,35,118,7,190
N20002783,NI data zone,10,32,82,9,253
N20002784,NI data zone,14,38,89,9,211
N20002785,NI data zone,20,20,98,11,199
N20002786,NI data zone,25,59,158,17,246
N20002787,NI data zone,23,44,127,9,201
N20002788,NI data zone,17,25,125,14,257
N20002789,NI data zone,25,52,117,14,302
N20002790,NI data zone,32,56,171,14,266
N20002791,NI data zone,16,39,117,6,187
N20002792,NI data zone,18,37,87,11,307
N20002793,NI data zone,8,11,39,4,237
N20002794,NI data zone,12,39,102,7,277
N20002795,NI data zone,12,29,71,9,374
N20002796,NI data zone,15,45,93,5,249
N20002797,NI data zone,23,53,136,19,260
N20002798,NI data zone,13,33,89,16,240
N20002799,NI data zone,15,61,135,18,273
N20002800,NI data zone,19,48,109,8,331
N20002801,NI data zone,5,7,30,1,171
N20002802,NI data zone,46,105,266,64,432
N20002803,NI data zone,16,37,133,9,246
N20002804,NI data zone,25,65,152,8,371
N20002805,NI data zone,31,54,167,24,205
N20002806,NI data zone,20,60,169,24,202
N20002807,NI data zone,10,27,90,6,149
N20002808,NI data zone,42,60,202,17,334
N20002809,NI data zone,33,54,168,51,338
N20002810,NI data zone,14,34,162,8,202
N20002811,NI data zone,11,47,75,2,221
N20002812,NI data zone,16,23,71,6,141
N20002813,NI data zone,11,61,106,9,279
N20002814,NI data zone,39,64,197,21,316
N20002815,NI data zone,15,30,61,5,173
N20002816,NI data zone,12,40,86,4,202
N20002817,NI data zone,6,43,90,6,266
N20002818,NI data zone,14,52,87,5,349
N20002819,NI data zone,9,69,121,5,352
N20002820,NI data zone,14,36,119,18,190
N20002821,NI data zone,25,54,156,7,386
N20002822,NI data zone,35,69,211,12,255
N20002823,NI data zone,28,70,209,26,357
N20002824,NI data zone,8,16,88,16,113
N20002825,NI data zone,43,58,216,40,365
N20002826,NI data zone,29,56,165,24,300
N20002827,NI data zone,20,53,193,29,188
N20002828,NI data zone,13,39,117,19,188
N20002829,NI data zone,23,55,145,19,321
N20002830,NI data zone,21,41,136,26,269
N20002831,NI data zone,10,25,71,12,194
N20002832,NI data zone,25,47,165,28,270
N20002833,NI data zone,13,43,118,5,226
N20002834,NI data zone,15,31,101,9,191
N20002835,NI data zone,15,55,211,23,324
N20002836,NI data zone,33,42,216,26,250
N20002838,NI data zone,34,98,302,82,498
